,y_test,prediction
2317,3615.294,3913.5127461259544
6130,3115.944,2290.3044658396393
1331,2536.698,3841.970006918822
781,1431.47,607.9575041144453
4181,1976.0944,2487.0707988648755
2315,5383.6588,4576.210960446275
997,9275.9256,3940.1255979625057
4663,3207.8244,2947.6369090924145
2045,3767.0964,2236.344371494686
1478,4211.185,4066.565843766097
265,2553.343,2774.229380476496
2771,1651.184,2168.078224807494
655,1230.3984,1638.9031524300335
7151,2466.789,2258.20061371912
6817,3338.3212,2080.297169508098
2074,402.809,1549.6061712226456
3977,3795.06,4479.3761391365915
5684,3463.4916,3246.254528229483
4578,1384.864,1956.5058379623515
4901,4986.842,3670.847348397565
5232,703.0848,1690.802912676074
4468,7028.8506,3981.88027287365
4596,3354.3004,2143.70004651007
1794,2808.3444,2085.3271837938228
6658,51.9324,-779.312067249627
2727,3504.1054,2842.474746603306
6404,4508.1318,3370.9871831907876
3792,3091.9752,3917.8224794187263
2161,4350.3372,3533.0593559631016
2425,4442.2176,4322.298991335743
7745,4431.5648,2558.9376485075263
44,373.5138,1773.4113038005198
1832,5785.802,4659.08469860621
3873,2028.6926,2823.192625704849
6828,458.7362,520.1763561414846
5116,4138.6128,3271.358444282938
3870,296.281,-435.6605156368878
1368,4471.5128,2616.892213024079
3427,2918.8672,2789.12738966653
1434,146.476,1206.6775545023247
4754,353.5398,1727.3106963239406
1702,5326.4,2347.4352944386937
5820,1090.5804,519.9572542538717
431,4997.4948,2908.764647957423
4248,3648.584,2842.399904188949
5548,2956.152,2962.449073830927
7676,3185.853,1749.3804630444793
7505,1797.66,1426.481126992725
6524,703.0848,1650.1451520888495
3067,3103.9596,1978.424601589004
1723,2111.2518,1222.6314866120938
302,5895.659,2296.7128963164905
2560,1609.9044,1729.4022618502786
1547,829.5868,1355.3227382297146
6990,1655.1788,2285.377366170278
3386,4845.0266,3913.839998533005
5322,6096.0648,3426.722917560399
4231,2348.9424,2777.9616354984155
5100,1037.3164,1113.5127229594927
3862,1691.7978,2242.0996966913463
839,2857.6136,1204.865324788012
6418,185.0924,417.88649655456084
6633,3880.2824,1546.7966543421298
2376,1821.6288,1411.8516544614558
3092,3315.0182,3875.443027142004
3064,1608.5728,1587.006697710438
172,1360.2294,2144.871345077012
1982,1603.2464,2109.8793424369705
2082,5257.1568,3170.443866316411
4079,3950.1914,3396.531487798191
1905,2181.1608,3120.066159548731
5437,293.6178,2109.230235603909
588,3205.1612,3087.1904275295838
126,1137.1864,1188.6166955644367
4739,1006.6896,1013.792650855421
7647,2741.7644,1125.0669283846055
7912,1958.1178,1409.242479831435
5942,1211.756,1311.365429139918
6651,1973.4312,1886.1803434802969
6897,3261.7542,2498.8615728485784
1819,1012.016,1972.7954456870411
1428,5366.348,3159.6411707683455
4544,194.4136,675.2130324331338
3475,4633.968,3367.5935474783455
3167,3430.2016,3033.197316587828
4976,3630.6074,3192.3506119896992
1872,2866.269,3012.448733131141
7946,3795.06,2731.5862179988217
4758,1105.8938,1262.166745818131
7499,247.6776,-81.35587755594952
7789,838.908,324.28441995248795
8052,3006.087,2294.376361352308
