,y_test,prediction
2317,3615.294,3862.826265252399
6130,3115.944,2269.7751114608573
1331,2536.698,3826.789582780919
781,1431.47,637.1154159758489
4181,1976.0944,2503.7307332666387
2315,5383.6588,4568.965819097837
997,9275.9256,3938.5584565918616
4663,3207.8244,2965.0157971895587
2045,3767.0964,2248.246424025232
1478,4211.185,4079.7384638285366
265,2553.343,2763.6546797853443
2771,1651.184,2175.193299314934
655,1230.3984,1660.1674748733503
7151,2466.789,2263.151891913514
6817,3338.3212,2108.4549491288626
2074,402.809,1578.2768909232846
3977,3795.06,4497.812202553943
5684,3463.4916,3260.2620270696825
4578,1384.864,1985.413661133438
4901,4986.842,3685.036324771818
5232,703.0848,1705.8700308267498
4468,7028.8506,3980.233334255616
4596,3354.3004,2151.9849742140086
1794,2808.3444,2077.5096657191652
6658,51.9324,-762.9059312213676
2727,3504.1054,2834.3320631385977
6404,4508.1318,3391.269038518003
3792,3091.9752,3916.1182409495777
2161,4350.3372,3555.1900188075597
2425,4442.2176,4344.741134621634
7745,4431.5648,2535.0213429285395
44,373.5138,1787.5964147260938
1832,5785.802,4672.694707855635
3873,2028.6926,2828.5368978002916
6828,458.7362,500.8883804714442
5116,4138.6128,3285.597291837803
3870,296.281,-439.2251482062911
1368,4471.5128,2592.2134659954336
3427,2918.8672,2792.205920973889
1434,146.476,1154.1214960855996
4754,353.5398,1704.8253633873537
1702,5326.4,2335.8546217088515
5820,1090.5804,538.8735473522811
431,4997.4948,2934.9742016094133
4248,3648.584,2853.808100350154
5548,2956.152,2983.165181940698
7676,3185.853,1766.0170535424386
7505,1797.66,1453.952749632389
6524,703.0848,1658.8938887212234
3067,3103.9596,1989.88386357714
1723,2111.2518,1205.6105027165722
302,5895.659,2316.7306815335505
2560,1609.9044,1740.0489419570522
1547,829.5868,1308.0195987287507
6990,1655.1788,2283.950485473806
3386,4845.0266,3924.8074057486247
5322,6096.0648,3438.208869288488
4231,2348.9424,2803.957927138257
5100,1037.3164,1101.9281940305245
3862,1691.7978,2269.620061133749
839,2857.6136,1208.2104695760463
6418,185.0924,394.25276037440653
6633,3880.2824,1499.0722736347652
2376,1821.6288,1440.3713569408264
3092,3315.0182,3883.3176766891793
3064,1608.5728,1591.5811571938411
172,1360.2294,2152.238202748289
1982,1603.2464,2131.7168191333485
2082,5257.1568,3170.6574282234596
4079,3950.1914,3401.200355531557
1905,2181.1608,3105.337975749093
5437,293.6178,2122.3311892121737
588,3205.1612,3073.8742935298687
126,1137.1864,1137.479799586249
4739,1006.6896,1019.5092908221113
7647,2741.7644,1101.4228625759888
7912,1958.1178,1365.9385395798008
5942,1211.756,1344.2062240410323
6651,1973.4312,1873.2809011937197
6897,3261.7542,2511.8753289195993
1819,1012.016,1980.8205525203857
1428,5366.348,3184.967021086526
4544,194.4136,670.6342691941018
3475,4633.968,3374.9794672583157
3167,3430.2016,3041.9038040183696
4976,3630.6074,3185.5922136154786
1872,2866.269,3029.849508080417
7946,3795.06,2747.0321623980617
4758,1105.8938,1221.8430135632916
7499,247.6776,-129.7508813273089
7789,838.908,302.5125048881382
8052,3006.087,2316.3502753982602
6538,1149.8366,2184.0948848669923
306,5317.0788,3291.816421033638
7391,300.9416,953.6722406875479
2039,159.792,772.0437432005156
4505,1743.0644,2319.7094019808183
6515,1677.816,2309.9903863583695
4569,972.068,515.8682601367218
758,4592.0226,5165.446037980981
2114,3372.9428,3029.8630111381135
6900,4314.384,2497.5745711799427
91,690.4346,842.9828563914989
62,484.7024,2077.5774424873243
6315,705.748,450.22196611102027
54,4815.0656,2069.13269462055
435,3038.7112,3202.2738362379096
4059,1097.9042,620.9337614980786
1367,1853.5872,3510.6591985712203
2614,1279.0018,1776.5555301987642
4500,1332.2658,876.5592181272805
5827,595.2252,177.7622554553991
6328,1310.2944,1331.3325089166756
5551,1659.8394,3240.0236414283463
2068,3034.0506,2082.306422452062
4247,1874.8928,3747.472933866111
1450,11445.102,5394.921731976448
5547,1794.331,2525.918542345553
5627,589.233,922.7650888880971
4018,3392.9168,1953.362032508955
4601,3695.19,5185.20524366089
210,133.16,206.58892961362926
3075,6093.4016,3607.186084460176
7421,3575.346,3559.5232158644503
1908,1474.0812,3747.6852295639965
2352,1905.5196,1836.9277054093855
5601,3113.2808,3280.6299142868884
1904,1537.998,3765.382180568211
4987,455.4072,569.4979341354237
1551,2330.3,2518.6863163269845
6697,5890.9984,3302.6685501770517
3999,6331.758,3815.314617827604
4342,2516.724,1549.8231391820618
5924,2586.633,2513.437435810103
8100,3775.086,2492.683728018237
834,5443.5808,2735.0303345139273
8088,2346.945,2823.3922955487687
2824,1318.284,1221.4580299902073
3668,1390.1904,1807.223937520831
5202,388.1614,206.76688060239303
7090,436.7648,1746.4437460176641
4942,2221.1088,3029.391255517723
2684,1335.5948,969.0952261632037
918,198.4084,420.78011323439387
5507,739.038,976.2204016968462
67,1118.544,2541.7507785659654
2216,8851.1452,3980.432091374705
1690,1294.3152,2098.224140230007
5648,1274.3412,2114.8674159783695
8504,4138.6128,3067.4418937029186
853,3057.3536,3132.712321646366
5485,120.5098,851.022023251553
7475,1685.8056,2117.403664218461
2057,5406.296,2528.060804552282
1963,2133.2232,1653.6323429554677
2547,2619.2572,2617.1573560182733
7422,868.869,1242.9605039647104
5453,179.766,1720.1165474220343
2886,1185.124,606.5510865718988
4315,111.1886,783.2640367009908
3085,607.2096,454.6959371191415
2823,1887.543,2848.037611250067
3202,539.298,1302.6219807696807
1653,490.6946,406.42695487189303
6851,1278.336,1006.2071251880843
5352,2586.633,3271.787508874777
3249,1677.816,2697.501214938953
274,2082.6224,1456.5121340026517
1103,5350.3688,3500.7903454683656
1829,122.5072,894.5835962804449
1945,5369.0112,3444.576111220056
5186,2799.689,1777.332028526238
7172,3155.892,3980.709823000474
3605,4456.1994,2732.019049446848
4538,1324.942,2984.617571924249
8441,777.6544,1719.7342197833468
6594,4275.7676,2828.434534358794
2865,1629.8784,1324.7957730631488
5201,3894.93,2203.255933804123
569,2097.27,2244.1790059770447
3803,3797.7232,4015.1068308206704
1827,245.0144,772.7385129566146
1496,170.4448,-482.83400744848313
3272,4925.5884,3035.1531058778382
4182,1368.219,1375.7028060543844
1544,3410.2276,1858.0155412496506
7393,3696.5216,4207.769592372992
6930,2002.0606,712.9744873163045
2898,2376.906,2485.9241718248195
4403,170.4448,-337.10018441468674
523,721.0614,434.6040904402298
1748,2406.867,2232.1107933864187
6047,1488.063,1343.5749164596018
6596,1705.1138,1981.1525989692364
2691,1422.1488,2829.165545606782
4577,407.4696,624.7162587748708
6157,583.2408,1324.2519090167461
6527,331.5684,763.6862239394432
3508,4579.3724,3449.163382386356
4074,4207.856,3754.94611181065
2163,659.142,599.5446586775197
5633,1225.7378,2473.395667839268
3688,1454.1072,1566.525733096927
770,2287.023,3783.4521478865536
3822,1754.383,2326.748113730143
348,3142.576,3294.95104459866
2680,6852.4136,3267.26670625485
895,527.3136,3976.192783431319
8330,610.5386,1166.84108020224
4387,2586.633,1912.6875906958576
837,5063.409,3169.442707002996
3586,99.87,490.1400004944244
4321,170.4448,1023.3464026037846
1596,1733.0774,1901.6185940121459
1401,5201.2296,2854.7339397423166
173,3969.4996,2589.219491440588
193,467.3916,1367.7356028147433
1725,1193.1136,511.41741317743436
4690,966.7416,2836.2164913301676
4354,1426.1436,2953.961259532247
4041,517.3266,1785.9713753926535
1619,419.454,2048.0189855130366
5826,4753.812,4858.63896377136
342,4377.635,2522.1048354647537
6632,1324.942,5408.430233249739
6197,2526.711,4114.671550173731
7188,13086.9648,5104.251559655029
5602,5179.924,3798.6641223348597
975,1222.4088,463.80639255611277
64,2543.356,5403.246576486432
7257,5536.7928,3077.1669324234335
6252,2976.126,2865.1726348928933
4626,3149.234,1961.6763959461414
2434,2006.7212,1190.3858094298457
2750,4458.1968,3701.590817719938
2373,3961.51,3781.264334217358
2371,3415.554,2642.0337015685654
752,1402.1748,3136.1290254239593
7332,431.4384,70.62830530150404
7910,2407.5328,2363.594961851355
5450,858.882,1572.396967613512
4014,2269.0464,2211.1231866161224
8456,487.3656,1886.2369825804462
3124,1437.4622,1321.363220498547
5637,1094.5752,1934.7230043401005
3914,1545.9876,992.3164881184366
6323,2410.196,3283.176015683199
1319,503.3448,1141.5004106646757
1697,3910.9092,1482.2730866195607
1589,4950.8888,3468.9825759444975
3265,1659.1736,3521.9943892534593
4102,1104.5622,2403.9282984756574
5328,3062.0142,2304.373457186086
127,928.1252,708.4179550213203
6477,2822.992,2379.776480474071
2748,1686.4714,1226.3915962095225
4285,773.6596,1177.6257821018744
2825,186.424,1129.0906177936213
5743,4807.076,3584.216618749675
4439,407.4696,647.9452137993867
