,y_test,prediction
2317,3615.294,3894.8669943649106
6130,3115.944,2790.158172653032
1331,2536.698,3949.55007010196
781,1431.47,842.5763906763257
4181,1976.0944,2096.319763776088
2315,5383.6588,5504.740907300173
997,9275.9256,4086.507836467826
4663,3207.8244,2603.3402674396675
2045,3767.0964,2574.982022825117
1478,4211.185,4521.572333910211
265,2553.343,3035.947368285715
2771,1651.184,1596.1644623340687
655,1230.3984,1657.1162831455688
7151,2466.789,2612.00027682115
6817,3338.3212,2459.4499226209914
2074,402.809,1255.312518609373
3977,3795.06,3211.871921551225
5684,3463.4916,3038.5517908921793
4578,1384.864,1654.4858616316058
4901,4986.842,3599.0438481693473
5232,703.0848,1392.8996539180766
4468,7028.8506,3988.3190285186474
4596,3354.3004,2426.18958033847
1794,2808.3444,2400.8840325851775
6658,51.9324,145.3386204595688
2727,3504.1054,3027.0659640917747
6404,4508.1318,2977.832892620123
3792,3091.9752,4095.677458360161
2161,4350.3372,3524.1126769599387
2425,4442.2176,5121.4528687041675
7745,4431.5648,3020.104260266133
44,373.5138,2056.854339569057
1832,5785.802,3634.200731831676
3873,2028.6926,3037.351579603452
6828,458.7362,603.1783871826282
5116,4138.6128,2740.8190573149577
3870,296.281,157.35403387689922
1368,4471.5128,3059.4983121732216
3427,2918.8672,3053.985418538681
1434,146.476,305.2900797990188
4754,353.5398,2018.722292810619
1702,5326.4,2573.249939957869
5820,1090.5804,773.257148962975
431,4997.4948,3015.2969331799604
4248,3648.584,2527.203357605342
5548,2956.152,2962.9839393454413
7676,3185.853,1719.4712828957697
7505,1797.66,1393.08834523193
6524,703.0848,1372.1439635137283
3067,3103.9596,2415.2520734759214
1723,2111.2518,1644.8757145423638
302,5895.659,2672.2150275242984
2560,1609.9044,2065.1352261632633
1547,829.5868,834.6843393911861
6990,1655.1788,2435.728474104609
3386,4845.0266,4070.005690684257
5322,6096.0648,3789.3584488240454
4231,2348.9424,3086.044644161082
5100,1037.3164,838.4657974655296
3862,1691.7978,2417.9510968112286
839,2857.6136,1578.0804598150476
6418,185.0924,228.5422187325659
6633,3880.2824,2043.9893390054808
2376,1821.6288,1648.5124789962706
3092,3315.0182,3990.0255871023855
3064,1608.5728,1649.0130282167122
172,1360.2294,2432.1743042811686
1982,1603.2464,1973.3230022753871
2082,5257.1568,3048.89410766817
4079,3950.1914,3868.138184281533
1905,2181.1608,2572.8177635300053
5437,293.6178,983.6729334051211
588,3205.1612,2667.555756688806
126,1137.1864,1350.2950872785252
4739,1006.6896,1354.374229287765
7647,2741.7644,1576.7915237280417
7912,1958.1178,1933.9784106310378
5942,1211.756,1531.5297824183663
6651,1973.4312,1659.6547475921625
6897,3261.7542,2121.7294360690435
1819,1012.016,2079.26212163153
1428,5366.348,3209.227906495171
4544,194.4136,736.4528526745693
3475,4633.968,3839.219818015265
3167,3430.2016,3643.981805626887
4976,3630.6074,3046.837766339019
1872,2866.269,3108.5973823965733
7946,3795.06,3048.89410766817
4758,1105.8938,1648.1038595697946
7499,247.6776,178.89009867507616
7789,838.908,649.879011897291
8052,3006.087,2445.417220611507
6538,1149.8366,1577.707044169712
306,5317.0788,3913.2816792125122
7391,300.9416,432.58078973429076
2039,159.792,330.8864328511522
4505,1743.0644,2561.0720346640173
6515,1677.816,1627.8797768432687
4569,972.068,731.6195751957794
758,4592.0226,5960.425504697216
2114,3372.9428,3112.958265617146
6900,4314.384,2865.952729997334
91,690.4346,633.8061399427777
62,484.7024,989.1807272186032
6315,705.748,606.9437528828172
54,4815.0656,2443.887901928052
435,3038.7112,3736.030889974651
4059,1097.9042,1108.336123366118
1367,1853.5872,3876.974599944677
2614,1279.0018,1191.9733469690875
4500,1332.2658,840.459271324801
5827,595.2252,273.902159314627
6328,1310.2944,1672.0894504329847
5551,1659.8394,2975.898001712036
2068,3034.0506,2407.3599807613778
4247,1874.8928,3835.411771365845
1450,11445.102,6085.285134262519
5547,1794.331,2616.530894974646
5627,589.233,609.0380225202912
4018,3392.9168,2043.1405164585326
4601,3695.19,6211.147790741164
210,133.16,603.1783871826282
3075,6093.4016,3837.8416802146994
7421,3575.346,3968.8792987850647
1908,1474.0812,4004.883406537491
2352,1905.5196,1656.4258365683813
5601,3113.2808,3774.178174726626
1904,1537.998,3952.320950800383
4987,455.4072,333.051113566221
1551,2330.3,2548.9917690789775
6697,5890.9984,3684.4354518390237
3999,6331.758,3492.566886486615
4342,2516.724,2049.2537449599577
5924,2586.633,2802.9066885604157
8100,3775.086,2906.0032338886817
834,5443.5808,3062.7300162539814
