,y_test,prediction
2317,3615.294,3872.140961111336
6130,3115.944,2272.8730769741305
1331,2536.698,3829.5535690083725
781,1431.47,632.0949031313212
4181,1976.0944,2501.6712951387526
2315,5383.6588,4569.818351997341
997,9275.9256,3939.029878849029
4663,3207.8244,2962.0034895800545
2045,3767.0964,2246.1269143599966
1478,4211.185,4077.1537325629797
265,2553.343,2765.502294815764
2771,1651.184,2174.3667398905372
655,1230.3984,1656.3798293797445
7151,2466.789,2261.922664540254
6817,3338.3212,2103.7320684288115
2074,402.809,1574.273921918364
3977,3795.06,4494.210670364748
5684,3463.4916,3258.358201957755
4578,1384.864,1980.9412597698465
4901,4986.842,3682.309370880417
5232,703.0848,1704.321130043374
4468,7028.8506,3980.282699582176
4596,3354.3004,2150.5319273682417
1794,2808.3444,2078.898512497053
6658,51.9324,-766.8376607320988
2727,3504.1054,2835.9840831489473
6404,4508.1318,3387.424763427851
3792,3091.9752,3916.5474857461704
2161,4350.3372,3551.5867015211406
2425,4442.2176,4340.849064546639
7745,4431.5648,2540.6888321207734
44,373.5138,1785.5111475628637
1832,5785.802,4670.220613670659
3873,2028.6926,2827.0628764184403
6828,458.7362,504.03247697288134
5116,4138.6128,3283.380364948689
3870,296.281,-439.085327016026
1368,4471.5128,2596.088725357202
3427,2918.8672,2791.8641778087695
1434,146.476,1162.8797135816285
4754,353.5398,1709.1231498563557
1702,5326.4,2338.2251570223507
5820,1090.5804,535.1818880094797
431,4997.4948,2930.6304934309483
4248,3648.584,2851.618358725167
5548,2956.152,2979.284883852022
7676,3185.853,1763.2181045203106
7505,1797.66,1449.203717533248
6524,703.0848,1657.8045781808232
3067,3103.9596,1987.6042743885646
1723,2111.2518,1209.282194282523
302,5895.659,2312.7929028146955
2560,1609.9044,1738.2605571329077
1547,829.5868,1316.0788254211184
6990,1655.1788,2284.3295804847294
3386,4845.0266,3922.9950557830816
5322,6096.0648,3436.924673165371
4231,2348.9424,2799.1542909047057
5100,1037.3164,1104.5487684150685
3862,1691.7978,2264.94397175626
839,2857.6136,1207.4244136154393
6418,185.0924,398.00078162256887
6633,3880.2824,1506.9840033673008
2376,1821.6288,1435.2929778722264
3092,3315.0182,3882.156241717008
3064,1608.5728,1590.7466970813366
172,1360.2294,2151.4570703650606
1982,1603.2464,2128.901185481871
2082,5257.1568,3171.593668604648
4079,3950.1914,3400.3767969470773
1905,2181.1608,3107.8911965552543
5437,293.6178,2119.75344019375
588,3205.1612,3075.8399206937793
126,1137.1864,1146.3585757094534
4739,1006.6896,1018.3967390844264
7647,2741.7644,1105.0753070976316
7912,1958.1178,1373.3207514582118
5942,1211.756,1338.8937502252265
6651,1973.4312,1876.3612299793913
6897,3261.7542,2510.1785945108004
1819,1012.016,1979.2688548486476
1428,5366.348,3181.192800695162
4544,194.4136,671.4995147022182
3475,4633.968,3374.2251385440013
3167,3430.2016,3040.2172044383824
4976,3630.6074,3187.334298003547
1872,2866.269,3026.8486998123717
7946,3795.06,2744.7600639850407
4758,1105.8938,1228.284702515988
7499,247.6776,-121.37607499224305
7789,838.908,306.14188088151604
8052,3006.087,2312.565550547941
6538,1149.8366,2181.9037911695305
306,5317.0788,3297.756187301793
7391,300.9416,951.4543623965583
2039,159.792,776.31557944408
4505,1743.0644,2323.6730557749397
6515,1677.816,2307.384333574624
4569,972.068,516.3164609784508
758,4592.0226,5164.191735788914
2114,3372.9428,3029.633619988468
6900,4314.384,2494.007217457154
91,690.4346,846.367506463961
62,484.7024,2073.998456754929
6315,705.748,445.14362369607625
54,4815.0656,2066.5060401011087
435,3038.7112,3199.0474920825327
4059,1097.9042,624.0219534724765
1367,1853.5872,3512.6275432110087
2614,1279.0018,1774.8130177564235
4500,1332.2658,874.1569693434085
5827,595.2252,176.98285134753314
6328,1310.2944,1332.7815321631133
5551,1659.8394,3248.5797169367215
2068,3034.0506,2079.6264639069577
4247,1874.8928,3754.1613977494217
1450,11445.102,5390.387409389923
5547,1794.331,2522.940799309419
5627,589.233,920.2992985539131
4018,3392.9168,1953.045189519893
4601,3695.19,5186.411327197544
210,133.16,205.1702791310854
3075,6093.4016,3606.5538820921247
7421,3575.346,3554.3811687408415
1908,1474.0812,3747.3805320017727
2352,1905.5196,1840.8639395088994
5601,3113.2808,3276.8887105922786
1904,1537.998,3765.911922553776
4987,455.4072,577.841483599529
1551,2330.3,2520.2052551020606
6697,5890.9984,3299.3590573458005
3999,6331.758,3814.1717115048614
4342,2516.724,1554.5006953409793
5924,2586.633,2521.7008155580806
8100,3775.086,2488.984417876989
834,5443.5808,2738.9836237429263
8088,2346.945,2831.8533210384558
2824,1318.284,1217.040172102943
3668,1390.1904,1804.762064305518
5202,388.1614,210.76037868492858
7090,436.7648,1742.9688877111967
4942,2221.1088,3035.099486766714
2684,1335.5948,969.9530838922728
918,198.4084,427.6935690042992
5507,739.038,970.8978617562216
67,1118.544,2542.2962568467283
2216,8851.1452,3979.2381265715503
1690,1294.3152,2100.293457573658
5648,1274.3412,2112.33739664695
8504,4138.6128,3072.234848513972
853,3057.3536,3131.6458791930363
5485,120.5098,854.3953087450391
7475,1685.8056,2116.26454589469
2057,5406.296,2528.003082288693
1963,2133.2232,1661.3586128574516
2547,2619.2572,2612.1726294872697
7422,868.869,1244.4470376862519
5453,179.766,1724.0697339164126
2886,1185.124,604.3405074809107
4315,111.1886,782.1726179779098
3085,607.2096,462.0074316575956
2823,1887.543,2850.5659223783787
3202,539.298,1308.174098411867
1653,490.6946,404.23849939888714
6851,1278.336,1012.618435697319
5352,2586.633,3273.8202296889212
3249,1677.816,2697.9537912566884
274,2082.6224,1454.465177723925
1103,5350.3688,3498.7484572014637
1829,122.5072,895.556675706127
1945,5369.0112,3447.4691666168856
5186,2799.689,1775.8921938459898
7172,3155.892,3984.564242765404
3605,4456.1994,2735.219703221268
4538,1324.942,2993.0281615503936
8441,777.6544,1721.9875696318886
6594,4275.7676,2826.614733833205
2865,1629.8784,1321.5979212085895
5201,3894.93,2211.553173639222
569,2097.27,2243.2973624333226
3803,3797.7232,4011.194836099423
1827,245.0144,781.6763229380749
1496,170.4448,-474.26415927664857
3272,4925.5884,3037.320226730393
4182,1368.219,1373.4967619458475
1544,3410.2276,1856.281786874306
7393,3696.5216,4203.5992184180395
6930,2002.0606,716.1430137157167
2898,2376.906,2481.033164056649
4403,170.4448,-336.84654188712466
523,721.0614,432.2950734747883
1748,2406.867,2228.60453392009
6047,1488.063,1340.379188701343
6596,1705.1138,1977.9786374725372
2691,1422.1488,2826.099082472094
4577,407.4696,624.9682104702515
6157,583.2408,1320.947418581256
6527,331.5684,764.9850603950217
3508,4579.3724,3451.5050011137682
4074,4207.856,3751.931853831269
2163,659.142,597.6888427026352
5633,1225.7378,2471.3875820191497
3688,1454.1072,1561.6758284885927
770,2287.023,3783.595972019888
3822,1754.383,2326.194763468344
348,3142.576,3296.417136151056
2680,6852.4136,3265.181007341187
895,527.3136,3981.2700054232337
8330,610.5386,1165.1715065630124
4387,2586.633,1911.6667208906201
837,5063.409,3168.5624702008154
3586,99.87,488.5601477687087
4321,170.4448,1021.4792987762376
1596,1733.0774,1904.547477276259
1401,5201.2296,2851.7339813339713
173,3969.4996,2587.344852167793
193,467.3916,1365.28774889109
1725,1193.1136,515.0791278659617
4690,966.7416,2835.4994205347357
4354,1426.1436,2956.369129408804
4041,517.3266,1782.8125098724595
1619,419.454,2047.6799426914822
5826,4753.812,4861.5433099058155
342,4377.635,2519.525031933279
6632,1324.942,5413.892832186088
6197,2526.711,4113.410658645265
7188,13086.9648,5100.587454609486
5602,5179.924,3798.401513503526
975,1222.4088,460.78556800974
64,2543.356,5400.844496884985
7257,5536.7928,3077.366046856212
6252,2976.126,2863.622487142635
4626,3149.234,1958.3398225983874
2434,2006.7212,1192.3559339275107
2750,4458.1968,3698.664116551503
2373,3961.51,3784.6931503103096
2371,3415.554,2638.21701140402
752,1402.1748,3132.4535912233114
7332,431.4384,67.44780320499194
7910,2407.5328,2364.847374294037
5450,858.882,1580.0486360507512
4014,2269.0464,2210.389600184357
8456,487.3656,1883.9274181487308
3124,1437.4622,1320.9193901764156
5637,1094.5752,1936.8637378464036
3914,1545.9876,994.1825880435063
6323,2410.196,3283.914136408017
1319,503.3448,1146.8318416682605
1697,3910.9092,1489.5631965726425
1589,4950.8888,3468.375370067388
3265,1659.1736,3518.6382261897215
4102,1104.5622,2402.4330054449747
5328,3062.0142,2301.5787887586557
127,928.1252,711.6677534911069
6477,2822.992,2380.1391390930203
2748,1686.4714,1224.5475245078505
4285,773.6596,1176.034552132789
2825,186.424,1137.611820182131
5743,4807.076,3584.1517830951852
4439,407.4696,646.5825984222665
2336,815.605,765.40770587936
5530,1704.448,2181.758308260646
8117,1225.072,3693.635224773321
319,4414.254,3703.058719331022
